DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T12:31:19.841Z,Thauan Lara,Defendendo,26/27,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | - | -
2026-09-15T12:31:19.890Z,Thauan Lara,Defendendo,26/27,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | - | -
2026-09-15T12:31:19.970Z,Thauan Lara,Defendendo,25/26,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,21 | 1 | 1 | 0 | 0 | 10 | 11 | 9 | 3 | 18
2026-09-15T12:31:20.020Z,Thauan Lara,Defendendo,25/26,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,18 | 1 | 1 | 0 | 0 | 10 | 11 | 9 | 3 | 18
2026-09-15T12:31:20.079Z,Thauan Lara,Defendendo,25/26,U23 Liga Next Gen,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | - | -
2026-09-15T12:31:20.159Z,Thauan Lara,Defendendo,24/25,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,18 | 0 | 2 | 0 | 0 | 5 | 31 | 6 | 2 | 13
2026-09-15T12:31:20.212Z,Thauan Lara,Defendendo,24/25,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,18 | 0 | 2 | 0 | 0 | 5 | 31 | 6 | 2 | 13
2026-09-15T12:31:20.278Z,Thauan Lara,Defendendo,2024,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,2 | 1 | 0 | 0 | 0 | 3 | 1 | 3 | 0 | 5
2026-09-15T12:31:20.398Z,Thauan Lara,Defendendo,2024,Copa do Nordeste,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 2
2026-09-15T12:31:20.454Z,Thauan Lara,Defendendo,2024,Gaúcho,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 1 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 3
